Date,Open,High,Low,Close
07/18/2024,3409.46,3487.04,3373.67,3414.02
07/17/2024,3440.95,3515.44,3378.09,3415.23
07/16/2024,3435.95,3497.5,3350.01,3443.31
07/15/2024,3200.77,3444.61,3198.63,3434.57
07/14/2024,3163.01,3224.45,3146.5,3201.07
07/13/2024,3110.69,3169.38,3109.45,3163.74
07/12/2024,3114.26,3155.33,3048.46,3110.69
07/11/2024,3095.21,3210.51,3058.4,3114.12
07/10/2024,3071.04,3148.46,3024.37,3095.22
07/09/2024,2997.89,3110.84,2985.81,3071
07/08/2024,2998.32,3085.69,2826.31,2997.9
07/07/2024,3063.97,3080.02,2957.08,2998.32
07/06/2024,2974.73,3073.29,2956.05,3063.8
07/05/2024,3140.72,3168.34,2828.61,2973.72
07/04/2024,3256.94,3307.59,3090.01,3140.7
07/03/2024,3414.2,3426.49,3255.47,3255.57
07/02/2024,3461.87,3464.93,3398.39,3414.19
07/01/2024,3417.38,3516.14,3405,3462.83
06/30/2024,3377.02,3427.91,3351.45,3418.73
06/29/2024,3383.85,3400,3362.96,3377.02
06/28/2024,3439.17,3482,3364.05,3382.98
06/27/2024,3388,3470.72,3362,3440.97
06/26/2024,3409.93,3424.18,3328.14,3388
06/25/2024,3308.68,3426.88,3306.42,3410.28
06/24/2024,3433.5,3437.2,3244.35,3308.81
06/23/2024,3493.48,3519.43,3413.57,3433.51
06/22/2024,3519.74,3525.35,3476.22,3493.48
06/21/2024,3524.13,3542.85,3445.8,3518.95
06/20/2024,3550.23,3620,3482.61,3524.13
06/19/2024,3461.13,3586.45,3452.89,3550.31
06/18/2024,3513.07,3528.4,3372.68,3458.98
06/17/2024,3595.78,3649.6,3466.22,3513.59
06/16/2024,3550.59,3605.46,3542.03,3595.78
06/15/2024,3412.03,3589.99,3411.32,3550.59
06/14/2024,3475.44,3529.49,3364.09,3410.65
06/13/2024,3554.99,3571.96,3429.35,3475.44
06/12/2024,3486.56,3654.56,3464.12,3554.41
06/11/2024,3670.51,3675.39,3430.48,3486.55
06/10/2024,3698.34,3719.73,3644.21,3670.69
06/09/2024,3672.91,3709.98,3665.69,3698.33
06/08/2024,3690.96,3705.02,3667.86,3671.54
06/07/2024,3798.28,3837.87,3617.4,3690.96
06/06/2024,3864.97,3875.99,3762.06,3798.28
06/05/2024,3807.1,3884.41,3778.75,3864.98
06/04/2024,3770.04,3831.45,3743.57,3807.1
06/03/2024,3784,3847.67,3758.64,3771.1
06/02/2024,3803.4,3834.36,3753.32,3784
06/01/2024,3789.4,3808,3740.07,3803.4
05/31/2024,3735.91,3842,3723.7,3788.95
05/30/2024,3749.68,3821.56,3702.01,3736.14
05/29/2024,3826.19,3879.26,3742.21,3751.59
05/28/2024,3889.16,3924.15,3771.37,3828.31
05/27/2024,3858.86,3973.67,3817.86,3887.45
05/26/2024,3743.41,3879.17,3732.5,3858.58
05/25/2024,3731.03,3774.38,3708.33,3744.79
05/24/2024,3760.39,3898.12,3630.88,3732.4
05/23/2024,3747.59,3939.52,3585.57,3752.49
05/22/2024,3746.21,3818.81,3655,3746.48
05/21/2024,3500.69,3836.84,3491.2,3746.19
05/20/2024,3074.05,3563.99,3050,3500
05/19/2024,3120.6,3134,3059.34,3074.05
05/18/2024,3090.36,3144.66,3087.13,3120.71
05/17/2024,2936.18,3120,2925.63,3090.36
05/16/2024,3022.35,3040.93,2927.13,2936.18
05/15/2024,2890.57,3028.77,2864.75,3021.43
05/14/2024,2952.39,2957.51,2864.75,2890.88
05/13/2024,2921.61,2991.99,2864.94,2952.39
05/12/2024,2921.06,2951.99,2901.78,2921.62
05/11/2024,2889.49,2941.91,2887.25,2922.11
05/10/2024,3019.99,3056.24,2883.93,2889.2
05/09/2024,2950.34,3025.94,2941.92,3019.98
05/08/2024,3047.02,3058.4,2938,2950.29
05/07/2024,3077.53,3127.99,3028.19,3047.02
05/06/2024,3138.14,3217.66,3047.1,3077.53
05/05/2024,3128.52,3168.39,3077,3138.14
05/04/2024,3113.24,3165,3096.41,3129.12
05/03/2024,2987.18,3126.36,2959.17,3113
05/02/2024,2937.89,3012.67,2892.78,2987.18
05/01/2024,2962.5,3024.46,2816.91,2937.9
04/30/2024,3176.76,3247.51,2919.26,2961.18
04/29/2024,3309.63,3309.77,3118.05,3176.76
04/28/2024,3233.61,3346.19,3233.61,3309.5
04/27/2024,3141.91,3279.31,3071.54,3233.61
04/26/2024,3174.34,3190.86,3103.63,3141
04/25/2024,3130.41,3175.6,3075.02,3174.57
04/24/2024,3207.39,3291.64,3107.56,3129.3
04/23/2024,3189.78,3263.54,3155,3206.64
04/22/2024,3149.06,3234.55,3130.05,3191.23
04/21/2024,3156.23,3197.14,3120.01,3149.06
04/20/2024,3084.04,3169.99,3022.49,3156.17
04/19/2024,3067.94,3125.46,2873.38,3076.79
04/18/2024,2973.68,3094,2955.2,3067.94
04/17/2024,3068.55,3121.2,2921.92,2973
04/16/2024,3083.6,3127.43,2999.23,3068.54
04/15/2024,3066.03,3277.62,3026,3082.75
04/14/2024,2919.42,3098.55,2864.54,3067.61
04/13/2024,3224,3299.65,2874.6,2912.53
04/12/2024,3523.82,3551.15,3113.68,3224.47
04/11/2024,3514.01,3614.88,3477.31,3523.81
04/10/2024,3512.18,3553.01,3411.3,3514.01
04/09/2024,3688.5,3726.84,3458.46,3512.18
04/08/2024,3401.95,3710.06,3397.3,3689.13
04/07/2024,3364.6,3418.7,3348.7,3400.71
04/06/2024,3336.12,3363.1,3310.2,3363.1
04/05/2024,3327.07,3344.97,3213.73,3337.54
04/04/2024,3307.51,3443.14,3255.1,3329.71
04/03/2024,3273.37,3366.96,3206.11,3308.89
04/02/2024,3496.87,3515,3215.88,3274.01
04/01/2024,3632.7,3649,3420.01,3496.45
03/31/2024,3509.01,3652.92,3498.47,3633.19
03/30/2024,3496.86,3565.62,3480.01,3510.56
03/29/2024,3562.17,3582.44,3477.03,3496.86
03/28/2024,3510.46,3610,3464.43,3561.98
03/27/2024,3576.38,3661.93,3456.9,3510.58
03/26/2024,3628.49,3680.32,3544.75,3576.7
03/25/2024,3415.01,3657.79,3408.34,3628.49
03/24/2024,3388.84,3422,3301.76,3413.16
03/23/2024,3317.07,3433.22,3253.36,3388.85
03/22/2024,3484.73,3541.03,3283.51,3314.77
03/21/2024,3462.01,3585,3412.04,3485.5
03/20/2024,3282.54,3492.92,3060.83,3462.19
03/19/2024,3506.74,3545.17,3202.11,3281.17
03/18/2024,3631.69,3675,3456,3506.74
03/17/2024,3617.56,3655.46,3415.07,3631.69
03/16/2024,3631.76,3778.49,3569.57,3617.11
03/15/2024,3841.95,3929.02,3571.38,3627.06
03/14/2024,3991.02,4012.69,3725,3841.75
03/13/2024,3951.95,4083.12,3935.21,3992.16
03/12/2024,4031.5,4090,3841.99,3952.98
03/11/2024,3906.69,4084.74,3758.47,4031.5
03/10/2024,3911.59,3967.72,3876.29,3907.12
03/09/2024,3917.35,3950,3880.66,3911.58
03/08/2024,3875.51,3998,3829.79,3917.45
03/07/2024,3846.5,3938.27,3740.43,3875.72
03/06/2024,3522,3898.7,3451.46,3851.85
03/05/2024,3584.34,3827.69,3235,3522.67
03/04/2024,3478.15,3607.98,3440.62,3580.82
03/03/2024,3409.29,3484.01,3370.06,3478.15
03/02/2024,3429.9,3459.74,3399.01,3409.28
03/01/2024,3349.24,3452.69,3305.01,3430.03
02/29/2024,3324.13,3519.37,3319,3352.01
02/28/2024,3249.76,3487.03,3195.82,3322.57
02/27/2024,3186.67,3287.64,3163.26,3249.11
02/26/2024,3109.75,3196.99,3039.54,3186.08
02/25/2024,2985.22,3116.61,2984.54,3109.45
02/24/2024,2942.65,3003.36,2907.7,2985.87
02/23/2024,2984.73,2991.97,2908.01,2942.65
02/22/2024,2926.96,3033.31,2907.01,2985.23
02/21/2024,2990.4,3028.77,2871.36,2924.98
02/20/2024,2968,3000.82,2880,2990.41
02/19/2024,2845,2967.62,2845,2966.56
02/18/2024,2785.81,2845,2768.06,2845
02/17/2024,2790.99,2809.25,2724.38,2786.64
02/16/2024,2795.12,2858.4,2754.43,2790.99
02/15/2024,2780.61,2867.08,2765.57,2795.11
02/14/2024,2632.45,2787.24,2620.23,2781.24
02/13/2024,2633.77,2685.11,2595.53,2632.45
02/12/2024,2504.34,2650.99,2473.24,2630.51
02/11/2024,2511.16,2538.09,2494.02,2504.44
02/10/2024,2503.2,2515.84,2475,2511.15
02/09/2024,2425.3,2522.65,2419.04,2503.19
02/08/2024,2429.82,2460,2414,2425.29
02/07/2024,2381.77,2442.99,2353.52,2429.6
02/06/2024,2286.64,2389.78,2284.02,2382.01
02/05/2024,2299.53,2334.62,2268.42,2286.7
02/04/2024,2299.8,2309.24,2268.73,2299.53
02/03/2024,2296.74,2327.43,2293.51,2299.76
02/02/2024,2304.01,2322.56,2280.14,2296.74
02/01/2024,2276.83,2309.65,2243,2304.29
01/31/2024,2380.12,2381.99,2265.28,2276.69
01/30/2024,2306.62,2389.99,2298.4,2380.36
01/29/2024,2263.14,2312.27,2235.46,2307.18
01/28/2024,2271.23,2306.78,2249.13,2263.23
01/27/2024,2259.02,2282,2252.06,2271.23
01/26/2024,2217.74,2280,2195.9,2259.02
01/25/2024,2215.26,2239.75,2171.63,2217.73
01/24/2024,2202.41,2260.45,2196.94,2214.26
01/23/2024,2325.61,2348.05,2166.02,2202.41
01/22/2024,2472.27,2472.27,2309.26,2325.47
01/21/2024,2465.55,2480.28,2463.26,2472.16
01/20/2024,2486.62,2494.76,2458.71,2465.55
01/19/2024,2452.61,2502,2415,2487.71
01/18/2024,2524.4,2545.46,2425.01,2453.76
01/17/2024,2606.14,2610.49,2517.21,2523.95
01/16/2024,2520.59,2613.78,2499.79,2605.98
01/15/2024,2525.92,2550.32,2469.23,2521.18
01/14/2024,2573,2588.58,2483.32,2524.97
01/13/2024,2522.56,2578.55,2455.52,2573.01
01/12/2024,2604.16,2715,2503.68,2522.52
01/11/2024,2529.03,2689.25,2511.87,2604.16
01/10/2024,2319.6,2531.97,2319.06,2527.97
01/09/2024,2339.83,2364.35,2243.74,2319.94
01/08/2024,2240.53,2358.98,2170.02,2339.12
01/07/2024,2241.5,2256,2224,2240.68
01/06/2024,2247.01,2277.86,2218.63,2240.9
01/05/2024,2274.61,2288.87,2209.33,2246.71
01/04/2024,2226.34,2295.57,2199,2274.61
01/03/2024,2365.31,2384.01,2106.8,2227.15
01/02/2024,2339.05,2430.92,2324.13,2364.12
01/01/2024,2282.63,2348,2261.42,2337
12/31/2023,2300,2318.29,2277.82,2282.96
12/30/2023,2286.18,2322.19,2265.5,2300
12/29/2023,2345.99,2385,2282.74,2287.03
12/28/2023,2360.27,2445,2340.44,2344.39
12/27/2023,2223.94,2375,2212.55,2360.29
12/26/2023,2271.72,2284.61,2180.66,2223.97
12/25/2023,2278.96,2303.2,2249.48,2271.43
12/24/2023,2291.05,2325.7,2274.06,2278.96
12/23/2023,2317.22,2330.73,2269.13,2291.04
12/22/2023,2249.15,2342.18,2232.81,2315.49
12/21/2023,2178.12,2280.45,2177.65,2248.9
12/20/2023,2184.89,2263.7,2158.85,2177.02
12/19/2023,2217.21,2253.4,2136,2184.89
12/18/2023,2236.51,2237.26,2118.09,2215.79
12/17/2023,2229.15,2244.13,2199.68,2236.18
12/16/2023,2245.4,2259.61,2213,2230.24
12/15/2023,2298.25,2332.43,2225.26,2244.13
12/14/2023,2264.23,2313.89,2230,2298.09
12/13/2023,2170.54,2265,2147.03,2260.65
12/12/2023,2216.91,2241.48,2166.44,2170.44
12/11/2023,2361.34,2366.17,2157.84,2212.6
12/10/2023,2354.27,2376.93,2323.22,2360.33
12/09/2023,2367.37,2401.7,2341.13,2354.44
12/08/2023,2372.7,2388.27,2340.52,2367.1
12/07/2023,2247,2382,2221.57,2370.3
12/06/2023,2273.53,2311.55,2236.86,2247
12/05/2023,2233.12,2307.46,2190.72,2274.89
12/04/2023,2183.85,2273.55,2183.85,2234.71
12/03/2023,2170,2184.15,2151.24,2183.85
12/02/2023,2091.25,2180.68,2083.7,2169.38
12/01/2023,2046.2,2109.79,2041.36,2091.25
11/30/2023,2028.52,2052.12,2022.81,2046.19
11/29/2023,2054.47,2071.97,2020.04,2027.57
11/28/2023,2014.78,2076.08,1996.16,2054.47
11/27/2023,2074.18,2080.54,1987.31,2014.87
11/26/2023,2084.78,2094.64,2037.84,2074.18
11/25/2023,2086.12,2091.48,2067.27,2084.78
11/24/2023,2068.61,2130.8,2060.41,2087.92
11/23/2023,2082.8,2088.51,2041.52,2068.61
11/22/2023,1985.54,2091.38,1932.5,2082.04
11/21/2023,2025.41,2035,1952.58,1986.24
11/20/2023,1984.58,2068.1,1977.42,2024.9
11/19/2023,1961.53,1987.89,1945,1983.67
11/18/2023,1945.66,1972.14,1918.63,1961.52
11/17/2023,1956.32,1991,1908.39,1946.6
11/16/2023,2048.57,2090.66,1939.37,1956.32
11/15/2023,1981.95,2062.72,1968.02,2048.93
11/14/2023,2059.6,2071.17,1938.7,1981.95
11/13/2023,2060.08,2116.6,2031.3,2061
11/12/2023,2045.51,2066.43,2018,2060.08
11/11/2023,2092.88,2094.52,2035.19,2044.75
11/10/2023,2057.5,2135.7,2057.5,2094.24
11/09/2023,1888.15,2086.12,1883.94,2060.14
11/08/2023,1893.36,1904.98,1873.98,1888.25
11/07/2023,1892.75,1907.49,1851.63,1893.34
11/06/2023,1869.11,1914.73,1869.11,1891.66
11/05/2023,1839.54,1912.5,1839.54,1869.71
11/04/2023,1829.09,1848,1825.48,1839.54
11/03/2023,1805.01,1833.61,1779.62,1829.48
11/02/2023,1857.41,1874.79,1788.22,1805.63
11/01/2023,1814.6,1853.58,1785.63,1853.58
10/31/2023,1801.58,1819.97,1784.61,1814.72
10/30/2023,1797.52,1830,1779.22,1802.05
10/29/2023,1779.42,1807.14,1764.64,1797.52
10/28/2023,1781.36,1801.2,1775.76,1779.42
10/27/2023,1798.87,1810.94,1750.38,1781.31
10/26/2023,1788.08,1865.21,1763.31,1798.87
10/25/2023,1771.6,1816.51,1761.12,1788.04
10/24/2023,1708.46,1853.67,1705.26,1771.85
10/23/2023,1640.72,1722.74,1635.07,1708.78
10/22/2023,1630.22,1647.63,1622.39,1640.72
10/21/2023,1603.26,1641.47,1593.46,1630.22
10/20/2023,1566.67,1629.63,1562.01,1603.59
10/19/2023,1562.03,1573.75,1543.59,1565.88
10/18/2023,1560.45,1585.03,1558.41,1562.31
10/17/2023,1588.26,1604.94,1554,1560.91
10/16/2023,1564.35,1632.88,1553.45,1586.75
10/15/2023,1555.62,1565.47,1550.18,1564.2
10/14/2023,1559.08,1572.76,1545.61,1555.15
10/13/2023,1536.21,1559.61,1533.79,1559.61
10/12/2023,1563.57,1568.83,1523.01,1535.49
10/11/2023,1560.05,1578.03,1548.94,1563.28
10/10/2023,1577.02,1594,1552.81,1559.9
10/09/2023,1637.22,1638.99,1551.97,1577.03
10/08/2023,1634.23,1641.69,1617.88,1637.22
10/07/2023,1647.08,1659.36,1631.32,1634.13
10/06/2023,1616.99,1654.99,1611.27,1647.17
10/05/2023,1641.96,1654.41,1609.9,1616.91
10/04/2023,1656.88,1659.36,1628.63,1642.81
10/03/2023,1667.08,1670.26,1644.62,1656.88
10/02/2023,1674.25,1756,1674.15,1716.35
10/01/2023,1680.36,1692.13,1668.2,1674.25
09/30/2023,1667.27,1693.43,1665.33,1680.35
09/29/2023,1656.5,1687.47,1644.2,1667.04
